,kv_pickup,kv_delivery,avg(AverageTimeB2S),inHours
0,3,1,37745.94680303886,10.48498522306635
1,2,2,19689.16626984127,5.469212852733686
2,2,3,35844.67424242424,9.956853956228956
3,1,2,33069.270059833456,9.185908349953738
4,1,1,28169.209388893323,7.824780385803701
5,1,3,35401.13905859902,9.833649738499728
6,3,3,18699.37581238259,5.194271058995164
7,2,1,30167.377247752243,8.379827013264512
8,3,2,32409.68222835872,9.002689507877422
